person_id,first_name,last_name,email,phone,address,city,state,zip,engagement_level,giving_capacity
P-00000030,Nancy,Young,nancy.young23@yahoo.com,8725353127,8196 Madison St,Chicago,IL,60622,medium,low
P-00000031,Donald,Adams,donald.adams26@hotmail.com,7736491590,8092 Dearborn St,Chicago,IL,60647,medium,medium
P-00000032,Amanda,Thomas,amanda.thomas87@yahoo.com,7735183839,953 Ashland Ave,Chicago,IL,60610,medium,medium
P-00000033,Lisa,Perez,lisa.perez52@msn.com,8729849851,3224 Irving Park Rd,Chicago,IL,60601,low,medium
P-00000034,Patricia,Garcia,patricia.garcia94@hotmail.com,6304379569,735 Monroe St,Chicago,IL,60614,low,medium
P-00000035,Charles,Ramirez,charles.ramirez55@msn.com,8474177945,8408 Fullerton Ave,Evanston,IL,60201,high,medium
P-00000036,James,Smith,james.smith96@aol.com,3121176615,7504 California Ave,Chicago,IL,60654,medium,medium
P-00000037,Robert,Perez,robert.perez67@msn.com,8721144356,7353 Central Ave,Chicago,IL,60647,low,low
P-00000038,Timothy,Robinson,timothy.robinson69@msn.com,7734502630,9927 Michigan Ave,Chicago,IL,60614,medium,medium
P-00000039,Elizabeth,Jones,elizabeth.jones34@outlook.com,7734693305,2589 Armitage Ave,Chicago,IL,60614,high,medium
P-00000040,Patricia,Thomas,patricia.thomas80@comcast.net,7731049115,9187 Armitage Ave,Chicago,IL,60615,high,medium
P-00000041,Andrew,Allen,andrew.allen61@hotmail.com,8721251492,5487 Clark St,Chicago,IL,60601,high,medium
P-00000042,Brian,Baker,brian.baker35@comcast.net,3125833177,9917 Fullerton Ave,Chicago,IL,60654,high,low
P-00000043,Patricia,Hall,patricia.hall36@sbcglobal.net,8474369720,8967 Monroe St,Chicago,IL,60615,medium,medium
P-00000044,Andrew,Wright,andrew.wright82@gmail.com,8472355531,3540 Pulaski Rd,Chicago,IL,60614,medium,medium
P-00000045,Kevin,Robinson,kevin.robinson62@outlook.com,3124264908,798 Ashland Ave,Chicago,IL,60601,low,low
P-00000046,Kevin,Jackson,kevin.jackson71@outlook.com,8724599865,5586 Roosevelt Rd,Oak Park,IL,60302,medium,low
P-00000047,Anthony,Lee,anthony.lee53@comcast.net,3121787494,2256 California Ave,Chicago,IL,60614,medium,low
P-00000048,Steven,Jones,steven.jones87@yahoo.com,6303276360,7341 Oak Park Ave,Chicago,IL,60610,medium,low
P-00000049,David,Rivera,david.rivera42@sbcglobal.net,7736462810,2781 State St,Chicago,IL,60615,low,low
P-00000050,Charles,Davis,charles.davis86@outlook.com,3129315390,7594 Central Ave,Chicago,IL,60601,medium,low
P-00000051,Steven,Jackson,steven.jackson39@msn.com,7738827494,4368 Van Buren St,Chicago,IL,60622,medium,medium
P-00000052,Karen,Ramirez,karen.ramirez61@sbcglobal.net,3126806466,604 Diversey Pkwy,Chicago,IL,60615,medium,low
P-00000053,Paul,Nguyen,paul.nguyen6@msn.com,6306747372,6416 Belmont Ave,Chicago,IL,60657,low,low
P-00000054,Daniel,Hernandez,daniel.hernandez36@hotmail.com,8723373139,6290 Madison St,Chicago,IL,60657,low,low
P-00000055,James,Williams,james.williams57@msn.com,6306528983,767 California Ave,Chicago,IL,60647,low,low
P-00000056,Betty,Davis,betty.davis60@yahoo.com,6305166500,4935 Armitage Ave,Evanston,IL,60201,medium,low
P-00000057,William,Allen,william.allen84@hotmail.com,8473496081,7126 Armitage Ave,Chicago,IL,60657,medium,high
P-00000058,Elizabeth,Robinson,elizabeth.robinson5@comcast.net,3122110389,2293 Armitage Ave,Chicago,IL,60654,high,low
P-00000059,Betty,Harris,betty.harris59@gmail.com,8475345760,1733 Madison St,Chicago,IL,60622,medium,low
P-00000060,Melissa,Garcia,melissa.garcia69@icloud.com,8724196340,7290 LaSalle St,Chicago,IL,60601,medium,medium
P-00000061,Charles,Taylor,charles.taylor78@sbcglobal.net,3124977266,4880 Van Buren St,Chicago,IL,60657,low,high
P-00000062,Michelle,Young,michelle.young92@att.net,7739896761,8965 Kedzie Ave,Chicago,IL,60654,medium,medium
P-00000063,Barbara,Smith,barbara.smith5@sbcglobal.net,3126165679,2914 Harrison St,Chicago,IL,60622,medium,medium
P-00000064,Susan,Johnson,susan.johnson38@yahoo.com,7731317537,8117 Fullerton Ave,Chicago,IL,60610,medium,low
P-00000065,Kimberly,Nguyen,kimberly.nguyen88@comcast.net,7732296516,4992 Dearborn St,Chicago,IL,60601,medium,high
P-00000066,Christopher,Martin,christopher.martin69@yahoo.com,8473691276,6369 Adams St,Chicago,IL,60615,medium,low
P-00000067,Timothy,Thompson,timothy.thompson80@aol.com,6306106563,8572 Clark St,Chicago,IL,60647,high,medium
P-00000068,Ashley,Jackson,ashley.jackson5@yahoo.com,6306279548,6777 California Ave,Chicago,IL,60657,medium,medium
P-00000069,Barbara,Sanchez,barbara.sanchez49@msn.com,8476455770,7340 Oak Park Ave,Chicago,IL,60654,medium,medium
P-00000070,Timothy,Robinson,timothy.robinson26@outlook.com,3124982588,5911 Harrison St,Chicago,IL,60601,medium,high
P-00000071,Susan,Sanchez,susan.sanchez78@att.net,7736914988,6909 Congress Pkwy,Chicago,IL,60647,low,low
P-00000072,Michael,Campbell,michael.campbell18@msn.com,8722215502,8252 Pulaski Rd,Chicago,IL,60647,low,low
P-00000073,Christopher,Hill,christopher.hill90@sbcglobal.net,3126642264,9895 Monroe St,Chicago,IL,60622,medium,low
P-00000074,Timothy,Scott,timothy.scott34@att.net,3129411883,6838 Monroe St,Chicago,IL,60622,low,low
P-00000075,Betty,King,betty.king59@aol.com,8471421240,9604 California Ave,Chicago,IL,60615,low,low
P-00000076,Melissa,Brown,melissa.brown55@sbcglobal.net,8725612338,2690 Wacker Dr,Chicago,IL,60615,medium,major
P-00000077,Jennifer,Johnson,jennifer.johnson92@outlook.com,3122030117,5660 State St,Chicago,IL,60614,medium,medium
P-00000078,George,Baker,george.baker70@msn.com,6302237715,324 Western Ave,Chicago,IL,60657,low,low
P-00000079,Betty,Wilson,betty.wilson37@outlook.com,8476752810,3844 Wells St,Chicago,IL,60622,low,low
P-00000080,Matthew,Martinez,matthew.martinez13@att.net,7739291923,8612 Diversey Pkwy,Chicago,IL,60654,medium,medium
P-00000081,Richard,Anderson,richard.anderson38@comcast.net,8726205597,9410 Cermak Rd,Chicago,IL,60615,high,medium
P-00000082,Susan,Hernandez,susan.hernandez34@hotmail.com,8723869760,5515 Armitage Ave,Oak Park,IL,60302,medium,high
P-00000083,Linda,Hernandez,linda.hernandez14@hotmail.com,8479910852,2998 Harlem Ave,Oak Park,IL,60302,medium,high
P-00000084,Anthony,Hall,anthony.hall89@yahoo.com,8723562469,6084 Pulaski Rd,Evanston,IL,60201,medium,medium
P-00000085,Christopher,Allen,christopher.allen66@icloud.com,8728905477,5865 Clark St,Chicago,IL,60647,medium,low
P-00000086,Thomas,Campbell,thomas.campbell94@comcast.net,8727867100,1220 Belmont Ave,Chicago,IL,60601,low,medium
P-00000087,Patricia,Perez,patricia.perez10@icloud.com,8724131209,6128 Diversey Pkwy,Chicago,IL,60654,low,low
P-00000088,Thomas,Lewis,thomas.lewis5@outlook.com,6306525633,194 Ashland Ave,Chicago,IL,60615,medium,medium
P-00000089,Brian,Clark,brian.clark20@msn.com,7739464685,8654 Jackson Blvd,Chicago,IL,60657,high,low
P-00000090,Sarah,Harris,sarah.harris60@outlook.com,6305390020,3976 Wacker Dr,Chicago,IL,60601,medium,medium
P-00000091,Steven,Rodriguez,steven.rodriguez51@att.net,3123276106,1892 Congress Pkwy,Chicago,IL,60622,low,low
P-00000092,Emily,Thompson,emily.thompson1@aol.com,8727149031,2808 Harrison St,Oak Park,IL,60302,low,low
P-00000093,Betty,Green,betty.green63@outlook.com,3122017433,8073 State St,Chicago,IL,60610,medium,low
P-00000094,Mark,Taylor,mark.taylor54@att.net,3127231219,3672 Cicero Ave,Chicago,IL,60610,low,medium
P-00000095,Brian,Perez,brian.perez28@yahoo.com,8471570451,3532 Cermak Rd,Evanston,IL,60201,medium,high
P-00000096,Michelle,Miller,michelle.miller96@comcast.net,8728433533,2179 Fullerton Ave,Chicago,IL,60601,low,low
P-00000097,Sandra,Thomas,sandra.thomas19@yahoo.com,3129976973,5590 Harrison St,Chicago,IL,60615,medium,medium
P-00000098,Sandra,Nguyen,sandra.nguyen63@outlook.com,3126517366,8138 Clark St,Chicago,IL,60610,low,low
P-00000099,Amanda,King,amanda.king87@comcast.net,6305846769,3562 Belmont Ave,Chicago,IL,60601,medium,medium
P-00000100,Michael,White,michael.white59@att.net,3124185714,7876 Irving Park Rd,Chicago,IL,60647,low,low
P-00000101,Ashley,White,ashley.white46@outlook.com,6301499876,6712 Congress Pkwy,Chicago,IL,60615,low,high
P-00000102,David,Martinez,david.martinez33@comcast.net,8478229039,3552 Ashland Ave,Chicago,IL,60647,medium,low
P-00000103,Mary,Smith,mary.smith20@msn.com,7732937878,4591 Western Ave,Chicago,IL,60657,medium,low
P-00000104,Sandra,Rodriguez,sandra.rodriguez53@hotmail.com,6309121849,1487 Cicero Ave,Chicago,IL,60654,low,medium
P-00000105,Amanda,Thompson,amanda.thompson81@sbcglobal.net,7733859244,1404 Franklin St,Chicago,IL,60601,low,medium
P-00000106,Amanda,Brown,amanda.brown58@yahoo.com,8472014929,5575 Madison St,Evanston,IL,60201,low,medium
P-00000107,Anthony,Nguyen,anthony.nguyen76@comcast.net,8471716756,2174 Central Ave,Evanston,IL,60201,low,medium
P-00000108,Kimberly,Lopez,kimberly.lopez53@comcast.net,7732500844,3069 California Ave,Oak Park,IL,60302,low,medium
P-00000109,Mary,Nelson,mary.nelson51@icloud.com,6307247794,4224 California Ave,Chicago,IL,60601,high,low
P-00000110,Emily,Hill,emily.hill54@yahoo.com,8471415008,7815 Harrison St,Chicago,IL,60615,low,medium
P-00000111,Brian,Taylor,brian.taylor73@msn.com,7735851188,2220 Madison St,Chicago,IL,60654,low,low
P-00000112,Brian,Flores,brian.flores25@comcast.net,8726787749,7109 Jackson Blvd,Evanston,IL,60201,low,low
P-00000113,Christopher,Martinez,christopher.martinez55@gmail.com,6305894287,8507 Ashland Ave,Oak Park,IL,60302,medium,high
P-00000114,Matthew,Torres,matthew.torres80@aol.com,3125381137,5487 Harrison St,Chicago,IL,60622,medium,low
P-00000115,Betty,Campbell,betty.campbell16@comcast.net,3124813270,6013 California Ave,Evanston,IL,60201,medium,low
P-00000116,Thomas,Miller,thomas.miller48@att.net,7737691409,3394 Fullerton Ave,Oak Park,IL,60302,low,low
P-00000117,Dorothy,Hill,dorothy.hill14@att.net,8729948331,8080 State St,Chicago,IL,60601,high,medium
P-00000118,Betty,Thompson,betty.thompson15@att.net,3128132508,1020 Van Buren St,Chicago,IL,60647,medium,high
P-00000119,Dorothy,Baker,dorothy.baker55@hotmail.com,7739847905,4446 Pulaski Rd,Chicago,IL,60654,low,low
P-00000120,Ashley,Wright,ashley.wright46@outlook.com,8477714301,2132 Belmont Ave,Chicago,IL,60647,low,low
P-00000121,Jessica,Baker,jessica.baker10@sbcglobal.net,6308744064,3860 Clark St,Oak Park,IL,60302,medium,low
P-00000122,Patricia,Moore,patricia.moore25@gmail.com,8479555080,4594 Cermak Rd,Chicago,IL,60657,low,low
P-00000123,Joshua,Torres,joshua.torres39@att.net,8726927997,1968 State St,Chicago,IL,60622,low,major
P-00000124,Linda,Martin,linda.martin74@yahoo.com,3128456985,1036 Cermak Rd,Chicago,IL,60622,high,high
P-00000125,Robert,Jones,robert.jones47@comcast.net,3129465506,2013 Cermak Rd,Chicago,IL,60622,low,low
P-00000126,Sarah,Taylor,sarah.taylor3@hotmail.com,8475988023,992 Harrison St,Chicago,IL,60615,low,high
P-00000127,Joshua,King,joshua.king56@hotmail.com,8723614235,1318 Central Ave,Oak Park,IL,60302,high,low
P-00000128,Thomas,Flores,thomas.flores5@yahoo.com,6307849486,4233 Wacker Dr,Oak Park,IL,60302,medium,low
P-00000129,Sarah,Garcia,sarah.garcia60@icloud.com,8471402732,417 Belmont Ave,Chicago,IL,60657,high,medium
P-00000130,Michelle,King,michelle.king91@gmail.com,8725180303,3339 Irving Park Rd,Chicago,IL,60615,high,high
P-00000131,Kevin,Gonzalez,kevin.gonzalez53@msn.com,6307115518,3838 Wells St,Oak Park,IL,60302,low,high
P-00000132,George,Walker,george.walker42@msn.com,8729859060,3841 Franklin St,Chicago,IL,60647,low,high
P-00000133,Susan,Gonzalez,susan.gonzalez66@gmail.com,3129551646,7109 Irving Park Rd,Chicago,IL,60647,low,high
P-00000134,Melissa,Garcia,melissa.garcia30@comcast.net,7739824031,1535 Irving Park Rd,Chicago,IL,60610,low,medium
P-00000135,Lisa,Brown,lisa.brown96@outlook.com,7739527171,1140 Jackson Blvd,Chicago,IL,60614,low,medium
P-00000136,James,Perez,james.perez82@yahoo.com,8473773707,9054 Clark St,Evanston,IL,60201,medium,low
P-00000137,Donald,Hernandez,donald.hernandez6@hotmail.com,8725421590,9745 State St,Chicago,IL,60601,high,low
P-00000138,Joseph,Green,joseph.green15@comcast.net,8477440010,7127 Armitage Ave,Chicago,IL,60647,low,medium
P-00000139,Lisa,Hernandez,lisa.hernandez81@att.net,6304441628,4216 Harrison St,Chicago,IL,60610,medium,medium
P-00000140,Jennifer,Jackson,jennifer.jackson69@hotmail.com,8722847865,1033 Harrison St,Oak Park,IL,60302,medium,low
P-00000141,Anthony,White,anthony.white15@att.net,6309296877,1084 Cermak Rd,Chicago,IL,60654,low,low
P-00000142,Mark,Rivera,mark.rivera71@hotmail.com,8476150635,8984 Cicero Ave,Chicago,IL,60654,high,medium
P-00000143,Amanda,Anderson,amanda.anderson94@comcast.net,3128892861,1975 Dearborn St,Oak Park,IL,60302,medium,low
P-00000144,Lisa,Johnson,lisa.johnson72@gmail.com,8474303389,1489 Harrison St,Chicago,IL,60615,medium,low
P-00000145,George,Harris,george.harris41@att.net,8721164053,3862 Cicero Ave,Chicago,IL,60601,low,low
P-00000146,Amanda,Young,amanda.young86@outlook.com,3125530889,9227 Armitage Ave,Chicago,IL,60622,high,low
P-00000147,Paul,Allen,paul.allen77@gmail.com,8472947763,7933 Kedzie Ave,Oak Park,IL,60302,low,major
P-00000148,Betty,Rivera,betty.rivera15@yahoo.com,7738258746,2025 Madison St,Evanston,IL,60201,high,low
P-00000149,Ashley,Green,ashley.green76@att.net,7732308507,3489 Western Ave,Chicago,IL,60654,low,high
P-00000150,David,Hernandez,david.hernandez80@outlook.com,7732868670,614 Diversey Pkwy,Chicago,IL,60614,medium,medium
P-00000151,Richard,Moore,richard.moore12@comcast.net,6303962732,1366 Oak Park Ave,Chicago,IL,60622,low,low
P-00000152,George,Davis,george.davis53@comcast.net,8727512427,3765 Wells St,Chicago,IL,60647,medium,low
P-00000153,Ashley,Green,ashley.green28@msn.com,8723322466,6336 Kedzie Ave,Chicago,IL,60610,low,low
P-00000154,Barbara,Robinson,barbara.robinson31@msn.com,8475188891,9679 Fullerton Ave,Chicago,IL,60657,high,low
P-00000155,Ashley,Green,ashley.green98@outlook.com,7731289102,9733 Dearborn St,Chicago,IL,60614,medium,low
P-00000156,Barbara,Williams,barbara.williams40@icloud.com,3125214279,6995 Fullerton Ave,Chicago,IL,60654,low,low
P-00000157,Susan,Johnson,susan.johnson37@icloud.com,8475884797,1625 Irving Park Rd,Chicago,IL,60647,medium,medium
P-00000158,Kenneth,Harris,kenneth.harris2@comcast.net,3122960826,8319 State St,Chicago,IL,60614,high,low
P-00000159,James,Flores,james.flores36@comcast.net,8724853321,729 Congress Pkwy,Chicago,IL,60615,low,low
P-00000160,Barbara,Robinson,barbara.robinson1@icloud.com,6309361735,7215 Michigan Ave,Oak Park,IL,60302,low,low
P-00000161,Margaret,Nelson,margaret.nelson47@icloud.com,6309480932,3668 Cicero Ave,Chicago,IL,60657,high,medium
P-00000162,Thomas,Garcia,thomas.garcia78@yahoo.com,3123843940,9335 Oak Park Ave,Chicago,IL,60614,low,low
P-00000163,Jennifer,Torres,jennifer.torres59@icloud.com,3124040267,4685 Western Ave,Chicago,IL,60657,high,major
P-00000164,Brian,King,brian.king50@sbcglobal.net,8723428081,9210 Jackson Blvd,Oak Park,IL,60302,medium,low
P-00000165,George,Thomas,george.thomas8@yahoo.com,8471647296,9306 Wacker Dr,Chicago,IL,60654,low,low
P-00000166,Timothy,Perez,timothy.perez65@comcast.net,7739121757,6357 Archer Ave,Chicago,IL,60654,medium,high
P-00000167,Michelle,Lopez,michelle.lopez89@outlook.com,3124570834,3224 Roosevelt Rd,Chicago,IL,60615,medium,low
P-00000168,Margaret,Johnson,margaret.johnson64@aol.com,3123825896,5308 Roosevelt Rd,Chicago,IL,60654,medium,low
P-00000169,Steven,Green,steven.green98@aol.com,6303887698,3653 Archer Ave,Chicago,IL,60614,high,low
P-00000170,George,Hernandez,george.hernandez88@aol.com,3122100500,3826 Michigan Ave,Chicago,IL,60601,low,low
P-00000171,Daniel,Jackson,daniel.jackson33@gmail.com,3124037099,7110 Wacker Dr,Oak Park,IL,60302,medium,medium
P-00000172,Amanda,Rodriguez,amanda.rodriguez85@msn.com,7731747419,1277 Central Ave,Chicago,IL,60610,low,low
P-00000173,Joshua,Anderson,joshua.anderson15@comcast.net,7733779499,6670 Van Buren St,Chicago,IL,60614,high,low
P-00000174,Jessica,Campbell,jessica.campbell15@sbcglobal.net,6306382858,4246 Harrison St,Chicago,IL,60657,low,low
P-00000175,Charles,King,charles.king52@hotmail.com,7735117923,9973 State St,Chicago,IL,60614,low,low
P-00000176,Anthony,Robinson,anthony.robinson95@msn.com,8475257950,3754 Diversey Pkwy,Chicago,IL,60647,low,medium
P-00000177,Dorothy,Scott,dorothy.scott68@aol.com,3122906039,6384 Pulaski Rd,Chicago,IL,60614,medium,medium
P-00000178,Margaret,Rodriguez,margaret.rodriguez9@msn.com,7737002296,9952 Monroe St,Evanston,IL,60201,high,low
P-00000179,Betty,Clark,betty.clark68@yahoo.com,8729002619,3373 Central Ave,Chicago,IL,60657,low,medium
P-00000180,Paul,Jones,paul.jones98@gmail.com,8479437712,8953 Roosevelt Rd,Chicago,IL,60601,low,low
P-00000181,David,Young,david.young73@sbcglobal.net,3125736319,4458 California Ave,Evanston,IL,60201,medium,low
P-00000182,Kenneth,Green,kenneth.green75@comcast.net,6308116355,1341 Wells St,Chicago,IL,60601,medium,low
P-00000183,Amanda,Scott,amanda.scott97@outlook.com,8721403322,5289 Madison St,Chicago,IL,60615,medium,low
P-00000184,Mary,Jones,mary.jones8@aol.com,7732908802,8079 Belmont Ave,Chicago,IL,60657,medium,low
P-00000185,Mary,Thompson,mary.thompson81@hotmail.com,7735466134,4311 Wacker Dr,Chicago,IL,60654,medium,low
P-00000186,Robert,Gonzalez,robert.gonzalez55@msn.com,3127416438,3183 Cermak Rd,Oak Park,IL,60302,low,major
P-00000187,Michael,Thomas,michael.thomas92@hotmail.com,8476238631,8655 Michigan Ave,Chicago,IL,60647,high,medium
P-00000188,Jennifer,Perez,jennifer.perez72@comcast.net,3128940879,9815 State St,Chicago,IL,60654,low,low
P-00000189,Matthew,Hall,matthew.hall85@yahoo.com,8724324664,2596 Adams St,Chicago,IL,60654,high,low
P-00000190,Betty,Brown,betty.brown55@aol.com,8725809109,4537 Irving Park Rd,Chicago,IL,60654,high,low
P-00000191,Timothy,Adams,timothy.adams82@hotmail.com,7734733149,7729 Wells St,Chicago,IL,60622,low,low
P-00000192,Susan,Rodriguez,susan.rodriguez35@yahoo.com,8725115362,7473 Western Ave,Chicago,IL,60657,medium,high
P-00000193,Mary,Harris,mary.harris33@outlook.com,3124368045,5017 Congress Pkwy,Chicago,IL,60622,low,medium
P-00000194,Kevin,Garcia,kevin.garcia13@icloud.com,7738585159,3064 State St,Oak Park,IL,60302,medium,low
P-00000195,George,Lopez,george.lopez18@aol.com,8479859690,4449 State St,Chicago,IL,60614,medium,low
P-00000196,Robert,Jackson,robert.jackson10@sbcglobal.net,7731973181,3950 Archer Ave,Chicago,IL,60654,low,medium
P-00000197,William,Thompson,william.thompson9@hotmail.com,8472250632,1279 Fullerton Ave,Chicago,IL,60610,low,low
P-00000198,Jessica,Allen,jessica.allen4@comcast.net,3129324454,1503 Western Ave,Chicago,IL,60614,low,medium
P-00000199,Donna,Hill,donna.hill63@icloud.com,6303430525,867 Belmont Ave,Chicago,IL,60654,low,medium
P-00000200,Lisa,Wilson,lisa.wilson86@icloud.com,7735257341,7998 California Ave,Chicago,IL,60647,low,low
P-00000201,Elizabeth,Thompson,elizabeth.thompson39@icloud.com,3122726676,8533 Van Buren St,Evanston,IL,60201,high,high
P-00000202,George,Young,george.young81@hotmail.com,3125657851,4898 California Ave,Chicago,IL,60614,high,low
P-00000203,Betty,Brown,betty.brown52@yahoo.com,8724815144,9751 Belmont Ave,Chicago,IL,60654,medium,medium
P-00000204,Joseph,Green,joseph.green9@sbcglobal.net,3122244289,671 Roosevelt Rd,Chicago,IL,60601,low,high
P-00000205,Michelle,Lee,michelle.lee34@att.net,8724889877,2347 Cermak Rd,Chicago,IL,60647,medium,low
P-00000206,Nancy,Hall,nancy.hall69@gmail.com,8475105223,5040 Wacker Dr,Chicago,IL,60610,low,medium
P-00000207,George,White,george.white24@gmail.com,8474293331,6520 Wacker Dr,Chicago,IL,60610,low,low
P-00000208,Richard,Anderson,richard.anderson7@hotmail.com,6309481209,9064 Fullerton Ave,Chicago,IL,60610,high,low
P-00000209,Elizabeth,Nguyen,elizabeth.nguyen95@att.net,3122257008,1927 Fullerton Ave,Chicago,IL,60601,low,low
P-00000210,Anthony,Martinez,anthony.martinez36@att.net,7732370485,880 California Ave,Chicago,IL,60657,high,medium
P-00000211,Ashley,King,ashley.king15@gmail.com,7739415414,5884 Wacker Dr,Evanston,IL,60201,medium,low
P-00000212,Anthony,Perez,anthony.perez30@outlook.com,8471863403,785 Cermak Rd,Chicago,IL,60614,medium,low
P-00000213,Ashley,Robinson,ashley.robinson39@gmail.com,6305113640,7797 California Ave,Chicago,IL,60647,medium,low
P-00000214,Linda,Rivera,linda.rivera7@comcast.net,6308076042,8889 Kedzie Ave,Chicago,IL,60615,high,high
P-00000215,Donald,Gonzalez,donald.gonzalez2@icloud.com,6306923098,9778 Ashland Ave,Chicago,IL,60654,low,low
P-00000216,Lisa,Nelson,lisa.nelson61@gmail.com,8723892478,1753 Ashland Ave,Chicago,IL,60657,low,low
P-00000217,Carol,Campbell,carol.campbell8@msn.com,7737524559,6372 Jackson Blvd,Oak Park,IL,60302,medium,major
P-00000218,Michelle,Wright,michelle.wright98@sbcglobal.net,7731689556,4067 Congress Pkwy,Evanston,IL,60201,medium,low
P-00000219,Kevin,Mitchell,kevin.mitchell36@aol.com,7731516409,3183 Cermak Rd,Oak Park,IL,60302,low,medium
P-00000220,Karen,Hernandez,karen.hernandez95@comcast.net,8722033316,797 Dearborn St,Chicago,IL,60610,low,medium
P-00000221,Elizabeth,White,elizabeth.white26@icloud.com,8479074037,2123 Franklin St,Chicago,IL,60622,low,medium
P-00000222,Patricia,Hall,patricia.hall17@comcast.net,6308303693,3686 Cicero Ave,Chicago,IL,60614,low,low
P-00000223,Patricia,White,patricia.white30@yahoo.com,8722243294,3490 Congress Pkwy,Chicago,IL,60654,low,medium
P-00000224,Barbara,Robinson,barbara.robinson31@outlook.com,8726510493,6356 Pulaski Rd,Evanston,IL,60201,low,low
P-00000225,Margaret,Campbell,margaret.campbell45@gmail.com,3124584197,1383 Western Ave,Oak Park,IL,60302,medium,low
P-00000226,Jennifer,Campbell,jennifer.campbell9@msn.com,8474790328,8791 Belmont Ave,Chicago,IL,60647,high,low
P-00000227,Brian,Robinson,brian.robinson70@gmail.com,8728948140,2710 California Ave,Chicago,IL,60622,low,high
P-00000228,Betty,Jones,betty.jones84@gmail.com,8475963401,8995 LaSalle St,Chicago,IL,60657,medium,medium
P-00000229,Kenneth,Hill,kenneth.hill35@gmail.com,3124651387,7631 Irving Park Rd,Chicago,IL,60654,low,high
P-00000230,Anthony,Scott,anthony.scott30@att.net,6307984297,9657 Irving Park Rd,Chicago,IL,60657,low,low
